session_id,level,kind,start_after_peak_s,end_after_peak_s,center_after_peak_s,samples,accel_magnitude_mps2_mean,gyro_magnitude_dps_mean,accel_msd_mean,gyro_msd_mean
29,6,fall_simulation,1,2,1.5,10,9.2722,42.8845,0.295204607,154.953107
29,6,fall_simulation,2,3,2.5,10,9.6371,12.560699999999999,0.0729099595,7.46549355
29,6,fall_simulation,3,4,3.5,10,10.0197,2.0524999999999998,0.00019234060200000003,0.02331579708
29,6,fall_simulation,4,5,4.5,10,10.042,1.4922,3.205679e-06,0.00015959987799999998
29,6,fall_simulation,5,6,5.5,10,10.042,1.4593,0.0,6.103330400000001e-05
29,6,fall_simulation,6,7,6.5,10,10.048999999999998,1.4602999999999997,6.411346999999999e-06,7.9899912e-05
29,6,fall_simulation,7,8,7.5,10,10.050999999999998,1.9937999999999998,0.000189135065,0.7240948999110001
29,6,fall_simulation,8,9,8.5,10,10.057199999999998,19.637999999999998,0.006937089929999999,4.7554973178
29,6,fall_simulation,9,10,9.5,10,10.046000000000001,10.6077,0.000169900972,6.007135159999999
30,6,fall_simulation,-5,-4,-4.5,10,9.8788,21.064600000000002,0.0597025332,64.4273596
30,6,fall_simulation,-4,-3,-3.5,10,10.0167,23.302799999999998,0.061465709,33.9959091
30,6,fall_simulation,-3,-2,-2.5,10,9.9173,18.8251,0.038804721599999994,51.693391299999995
30,6,fall_simulation,-2,-1,-1.5,10,9.6936,22.5262,0.0548363249,41.4389977
30,6,fall_simulation,-1,0,-0.5,9,10.488,33.68888888888889,3.2327029844444444,616.1170711111112
30,6,fall_simulation,0,1,0.5,10,8.5917,38.03779999999999,4.5998353633,544.8276720000001
30,6,fall_simulation,1,2,1.5,10,9.479099999999999,38.5313,0.1506220499,112.257909
30,6,fall_simulation,2,3,2.5,10,9.995700000000001,3.6024000000000003,0.000775773737,0.2938349713
30,6,fall_simulation,3,4,3.5,10,10.03,1.5823,3.205668e-06,0.0009347668499999999
30,6,fall_simulation,4,5,4.5,10,10.042,1.475,3.205668e-06,5.7933333e-05
30,6,fall_simulation,5,6,5.5,10,10.047999999999998,1.4716,6.411346999999999e-06,0.00010556663599999999
30,6,fall_simulation,6,7,6.5,10,10.0322,1.4708,6.7319042e-05,7.37334404e-05
30,6,fall_simulation,7,8,7.5,10,10.041,1.4710999999999999,3.205668e-06,5.973330199999999e-05
30,6,fall_simulation,8,9,8.5,10,10.044,1.4537,3.205668e-06,7.603330900000001e-05
30,6,fall_simulation,9,10,9.5,10,10.051999999999998,1.4716,0.0,5.263331299999999e-05
31,7,near_fall_simulation,-5,-4,-4.5,10,9.8963,20.0244,0.0483961375,59.118893400000005
31,7,near_fall_simulation,-4,-3,-3.5,10,9.896799999999999,24.0563,0.046581724,43.4008331
31,7,near_fall_simulation,-3,-2,-2.5,10,9.8703,20.2295,0.048210209,48.9086582
31,7,near_fall_simulation,-2,-1,-1.5,10,9.871199999999998,23.4361,0.07516038500000001,77.586061
31,7,near_fall_simulation,-1,0,-0.5,9,10.613777777777779,36.251444444444445,1.0258529377777779,327.95661888888884
31,7,near_fall_simulation,0,1,0.5,10,8.220400000000001,42.9055,3.6674768899999997,725.343391
31,7,near_fall_simulation,1,2,1.5,10,9.7937,35.496700000000004,0.14895508899999998,100.949816
31,7,near_fall_simulation,2,3,2.5,10,9.977599999999999,33.5307,0.569200452,161.204756
31,7,near_fall_simulation,3,4,3.5,10,9.7594,24.827099999999998,0.0873098944,99.285727
31,7,near_fall_simulation,4,5,4.5,10,9.851299999999998,19.493000000000002,0.046671476,32.03998282
31,7,near_fall_simulation,5,6,5.5,10,9.868699999999999,13.897499999999999,0.0231257785,24.0198468
31,7,near_fall_simulation,6,7,6.5,10,9.864900000000002,11.9454,0.022096738699999997,20.6328171
31,7,near_fall_simulation,7,8,7.5,10,9.941500000000001,13.420700000000002,0.0234335148,12.37462779
31,7,near_fall_simulation,8,9,8.5,10,10.0416,15.773599999999998,0.0210901713,33.884794899999996
31,7,near_fall_simulation,9,10,9.5,10,9.8696,15.482400000000002,0.03853864504,32.453175
32,7,near_fall_simulation,-5,-4,-4.5,10,9.9401,6.7949,0.0058920447,4.076303940000001
32,7,near_fall_simulation,-4,-3,-3.5,10,9.892800000000001,14.112,0.0120597661,7.902695200000001
32,7,near_fall_simulation,-3,-2,-2.5,10,10.052699999999998,25.318400000000004,0.11592050390000001,93.11970770999999
32,7,near_fall_simulation,-2,-1,-1.5,10,9.100200000000001,51.38439999999999,4.403648,773.8262200000001
32,7,near_fall_simulation,-1,0,-0.5,9,9.709333333333333,46.37255555555555,1.4787013999999998,526.8005522222223
32,7,near_fall_simulation,0,1,0.5,10,8.5708,42.2049,2.069099607,352.88330310000003
32,7,near_fall_simulation,1,2,1.5,10,9.986099999999999,10.3979,0.00795329554,5.02436173
32,7,near_fall_simulation,2,3,2.5,10,9.8547,15.079199999999997,0.015438547399999999,11.24286118
32,7,near_fall_simulation,3,4,3.5,10,9.9457,15.310300000000002,0.01189949501,6.2950726800000005
32,7,near_fall_simulation,4,5,4.5,10,9.962799999999998,13.544599999999999,0.015284683099999998,3.8040996
32,7,near_fall_simulation,5,6,5.5,10,9.848899999999999,10.5883,0.00879958724,3.9370806699999994
32,7,near_fall_simulation,6,7,6.5,10,10.0081,9.9816,0.0057349617,1.41409202
32,7,near_fall_simulation,7,8,7.5,10,9.9944,8.5795,0.008491846628,2.29020351
32,7,near_fall_simulation,8,9,8.5,10,9.866499999999998,9.9226,0.0104665438,5.40084064
32,7,near_fall_simulation,9,10,9.5,10,9.9786,8.9627,0.006728729704999999,2.15944973
33,7,near_fall_simulation,-5,-4,-4.5,10,10.0071,22.491200000000003,0.08338933600000001,67.025428
33,7,near_fall_simulation,-4,-3,-3.5,10,10.0784,29.035800000000002,0.09177539799999998,65.000653
33,7,near_fall_simulation,-3,-2,-2.5,10,9.9968,22.8347,0.059333892199999995,71.030524
33,7,near_fall_simulation,-2,-1,-1.5,10,9.734100000000002,24.5073,0.083857375,70.077646
33,7,near_fall_simulation,-1,0,-0.5,9,10.567,37.98133333333334,1.0538812555555555,330.9500211111111
33,7,near_fall_simulation,0,1,0.5,10,7.2783,43.43920000000001,5.3113071199999995,708.4920559999999
