session_id,level,start_s,end_s,samples,gyro_msd_mean,accel_msd_mean,gyro_magnitude_mean
8,2,27,28,10,0.8684933100000001,0.0018176200900000001,4.443099999999999
8,2,28,29,10,0.12071091910000001,0.0010194058,4.6367
9,2,0,1,10,0.544554989,0.0009713217000000002,2.7602
9,2,1,2,10,0.677548875,0.0020965202200000006,6.035
9,2,2,3,10,0.64323691,0.002410674107,1.8778000000000001
9,2,3,4,10,1.56184824,0.004798901600000001,10.039
9,2,4,5,10,0.7427547749999999,0.000929646828,3.2933999999999997
9,2,5,6,10,0.797435363,0.00168298028,8.463
9,2,6,7,10,0.6012011953,0.0007597451119999999,2.819
9,2,7,8,10,1.735273205,0.0060266744,4.9216999999999995
9,2,8,9,10,0.790654199,0.0021862704900000004,5.203
9,2,9,10,10,1.4035346,0.0029652521900000004,6.0085
9,2,10,11,10,0.5998023849999999,0.0009296465399999999,6.477799999999999
9,2,11,12,10,1.2940599700000002,0.0033178782499999997,4.965300000000001
9,2,12,13,10,0.9828102449999999,0.0014714052,7.4914000000000005
9,2,13,14,10,0.550641987,0.0009072070600000001,2.8007
9,2,14,15,10,3.412984539999999,0.004189817649999999,6.763599999999999
9,2,15,16,10,0.4670426039000001,0.00133356253,7.498600000000001
9,2,16,17,10,1.18552977,0.00292357735,5.067
9,2,17,18,10,0.19911129,0.0017855627899999997,5.58
9,2,18,19,10,1.6591408600000002,0.0037827006879999994,5.976100000000001
9,2,19,20,10,0.15301734799999997,0.001256625508,7.766400000000002
9,2,20,21,10,2.229184317,0.00255813047,6.541500000000001
9,2,21,22,10,0.181012433,0.00208048619,5.417400000000001
9,2,22,23,10,0.849483165,0.001532315163,4.4824
9,2,23,24,10,0.28466238900000007,0.00238181918,9.962
9,2,24,25,10,1.7635215000000002,0.0034685448799999996,6.6762
9,2,25,26,10,0.212458258,0.0018400594300000002,5.376099999999999
9,2,26,27,10,1.035555278,0.001259831665,4.725099999999999
9,2,27,28,10,0.46190847600000007,0.00248761179,7.4963999999999995
9,2,28,29,10,1.47441547,0.0032697959700000003,4.546200000000001
10,2,0,1,10,0.7604813800000001,0.00132715035,3.6942
10,2,1,2,10,1.21427388,0.00391412892,6.1834999999999996
10,2,2,3,10,0.183979361,0.00075333362,3.5647000000000006
10,2,3,4,10,0.8246450300000001,0.0017406837750000002,6.3093
10,2,4,5,10,0.504684947,0.0005674052399999999,5.026199999999999
10,2,5,6,10,0.616168793,0.004250728800000001,8.1638
10,2,6,7,10,0.829776571,0.0028145828200000006,4.2709
10,2,7,8,10,1.707921408,0.00607476255,7.544399999999999
10,2,8,9,10,1.99175425,0.0025164561100000002,6.632599999999999
10,2,9,10,10,0.413836676,0.0012341830220000002,8.867299999999998
10,2,10,11,10,1.0781587579999998,0.0023465546749999997,4.671600000000001
10,2,11,12,10,0.42293931799999995,0.0013816457269999998,5.143300000000001
10,2,12,13,10,2.148587457,0.004568092010000001,7.1036
10,2,13,14,10,0.136316088,0.000894383028,7.613899999999999
10,2,14,15,10,0.620963846,0.0015387242620000002,5.5847
10,2,15,16,10,0.46137918199999994,0.00131753298,4.031499999999999
10,2,16,17,10,1.74029396,0.001955464525,7.7356
10,2,17,18,10,0.706073314,0.000884766995,8.2784
10,2,18,19,10,0.6174595930000001,0.00200354646,3.9202
10,2,19,20,10,0.615640665,0.00182082389,3.7553000000000005
10,2,20,21,10,1.13296407,0.0037089711100000006,4.6143
10,2,21,22,10,0.58626371,0.001173277307,5.9031
10,2,22,23,10,0.67530248,0.0015932226250000001,3.3434
10,2,23,24,10,0.689412756,0.0047796650400000005,5.8339
10,2,24,25,10,0.5293746720000001,0.001186101674,4.224
10,2,25,26,10,2.0548637899999997,0.0046033529399999995,10.1189
10,2,26,27,10,0.603739166,0.001426527107,3.1691
10,2,27,28,10,0.816066434,0.0029716653399999996,5.3527
10,2,28,29,10,0.7546603740000001,0.000618695207,4.445500000000001
11,3,0,1,10,7.5302764,0.018025536300000002,12.140800000000002
11,3,1,2,10,5.1146563,0.0030101264800000004,11.6501
11,3,2,3,10,3.5099414,0.01223927874,7.241499999999999
11,3,3,4,10,3.74855387,0.004834165989999999,11.710199999999999
11,3,4,5,10,4.71291783,0.0064434118999999995,12.013399999999999
11,3,5,6,10,4.759378610000001,0.008495045599999999,12.989
11,3,6,7,10,6.59874425,0.006090785268,9.9701
11,3,7,8,10,7.06829418,0.0114090084,12.748
11,3,8,9,10,7.2542393,0.00583432869,12.1886
11,3,9,10,10,6.7348322,0.0133420399,11.2708
11,3,10,11,10,6.0239555,0.007334578,11.6154
11,3,11,12,10,6.14177911,0.0081776776,11.1636
11,3,12,13,10,9.10309981,0.00651074435,13.876899999999997
11,3,13,14,10,5.51147294,0.011187836400000001,11.0191
11,3,14,15,10,1.3228216699999997,0.0029171710099999996,12.952000000000002
11,3,15,16,10,3.4144078299999996,0.00423471237,7.379
11,3,16,17,10,3.6847960400000006,0.0114058117,8.733099999999999
11,3,17,18,10,2.45024592,0.004635416240000001,11.427
11,3,18,19,10,2.1089572700000003,0.00679284404,9.6379
11,3,19,20,10,5.3725656,0.00400710601,10.698799999999999
11,3,20,21,10,6.306530840000001,0.0064947081399999995,10.3328
11,3,21,22,10,5.9827089,0.00569007959,12.7474
11,3,22,23,10,6.890969119999999,0.010085073699999999,11.2487
11,3,23,24,10,8.95434,0.013467052899999998,13.684700000000001
11,3,24,25,10,7.783982200000001,0.010024172000000001,12.561500000000002
11,3,25,26,10,6.119631490000001,0.01291888629,13.2811
11,3,26,27,10,10.715525,0.013479891930000001,16.820500000000003
11,3,27,28,10,9.504239470000002,0.02079202527,13.856500000000002
11,3,28,29,10,7.9301574000000015,0.0079597046,16.4858
12,3,0,1,10,16.7483171,0.03955165670000001,14.0307
12,3,1,2,10,18.3961392,0.0236386721,31.316499999999998
12,3,2,3,10,21.2689537,0.01925651652,19.485300000000002
12,3,3,4,10,15.870235600000004,0.021308153,18.493000000000002
12,3,4,5,10,35.19199907,0.0262481154,18.447499999999998
12,3,5,6,10,21.2022236,0.0360895346,20.3009
12,3,6,7,10,37.998324399999994,0.0262512807,22.538400000000003
12,3,7,8,10,19.1772089,0.0203785246,20.1049
12,3,8,9,10,22.747982300000004,0.043856896,16.927100000000003
12,3,9,10,10,11.8810721,0.0246805264,16.494300000000003
12,3,10,11,10,24.90080088,0.0290017898,21.218000000000004
12,3,11,12,10,31.025337200000006,0.0273989347,24.4003
12,3,12,13,10,35.996470099999996,0.0259083049,24.2277
12,3,13,14,9,18.24011411111111,0.05576101111111112,23.670333333333332
12,3,14,15,10,22.1160289,0.031168811500000004,22.630699999999997
12,3,15,16,10,34.352401199999996,0.047226056,21.414099999999998
12,3,16,17,10,27.7971472,0.0398850857,23.5134
