session_id,level,start_s,end_s,samples,accel_magnitude_mps2_mean,accel_magnitude_mps2_max,gyro_magnitude_dps_mean,gyro_magnitude_dps_max,accel_msd_mean,accel_msd_max,gyro_msd_mean,gyro_msd_max
4,1,2,3,10,10.053999999999998,10.062,1.4135000000000002,1.43,6.4113479999999996e-06,6.411348e-05,7.2166713e-05,0.0001326664
4,1,3,4,10,10.058999999999997,10.062,1.4013,1.404,6.411346999999999e-06,3.205679e-05,5.479999599999999e-05,0.000126
4,1,4,5,10,10.056000000000001,10.072,1.4187999999999998,1.435,1.9234028000000002e-05,0.0001282267,8.669996999999999e-05,0.0001529995
4,1,5,6,10,10.062,10.062,1.4164,1.448,3.205668e-06,3.205668e-05,6.846662400000002e-05,0.0001609996
4,1,6,7,10,10.062,10.062,1.4320999999999997,1.453,3.205679e-06,3.205679e-05,5.9300046e-05,0.000131667
4,1,7,8,10,10.062,10.062,1.4224999999999999,1.439,0.0,0.0,6.0933355e-05,0.0001263336
4,1,8,9,10,10.057999999999998,10.062,1.4325999999999999,1.448,3.205668e-06,3.205668e-05,6.516668700000001e-05,0.0001983338
4,1,9,10,10,10.051999999999998,10.052,1.4448,1.454,0.0,0.0,9.1900227e-05,0.000173667
4,1,10,11,10,10.051999999999998,10.052,1.4341,1.444,0.0,0.0,9.1066808e-05,0.0001526669
4,1,11,12,10,10.051999999999998,10.052,1.4422,1.455,0.0,0.0,8.1666658e-05,0.0001723331
4,1,12,13,10,10.051999999999998,10.052,1.4329999999999998,1.447,0.0,0.0,4.9400097e-05,0.0001400001
4,1,13,14,10,10.051999999999998,10.052,1.4241000000000001,1.439,0.0,0.0,7.276644249999998e-05,0.0001443333
4,1,14,15,10,10.051999999999998,10.052,1.4377,1.456,0.0,0.0,8.3733449e-05,0.0001560006
4,1,15,16,10,10.051999999999998,10.052,1.4221,1.452,0.0,0.0,6.9700009e-05,0.0001256666
4,1,16,17,10,10.051999999999998,10.052,1.4232,1.441,0.0,0.0,7.5533434e-05,0.0001776666
